lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-12-31 03:36:53.372313,,,,,,,,,,,,,,
,2023-12-31 03:36:53.636607,0.03152677044272423,0.00012333181803114712,0.03152677044272423,49.0,0.0,,,,,,,,,
0.02,2023-12-31 03:37:06.814043,,,,,,,,,,,,,,
,2023-12-31 03:37:07.071975,0.3352562487125397,0.02065206691622734,0.3352562487125397,99.0,0.0,,,,,,,,,
0.02,2023-12-31 03:37:20.465943,,,,,,,,,,,,,,
,2023-12-31 03:37:20.726140,0.34396547079086304,0.002703564241528511,0.34396547079086304,149.0,0.0,,,,,,,,,
,2023-12-31 03:37:22.419277,,,,,0.0,0.187822625041008,0.0036394696217030287,0.187822625041008,0.2709171175956726,0.018083300441503525,0.2709171175956726,,,
,2023-12-31 03:37:22.432427,,,,,0.0,,,,,,,0.15052717924118042,0.0036449709441512823,0.15052717924118042
0.02,2023-12-31 03:37:35.680898,,,,,,,,,,,,,,
,2023-12-31 03:37:35.932170,0.18223026394844055,0.0009481487795710564,0.18223026394844055,199.0,1.0,,,,,,,,,
0.02,2023-12-31 03:37:48.764513,,,,,,,,,,,,,,
,2023-12-31 03:37:49.029387,0.0651625245809555,0.00032945084967650473,0.0651625245809555,249.0,1.0,,,,,,,,,
0.02,2023-12-31 03:38:02.851316,,,,,,,,,,,,,,
,2023-12-31 03:38:03.123119,0.15673065185546875,0.0005605707410722971,0.15673065185546875,299.0,1.0,,,,,,,,,
,2023-12-31 03:38:04.836892,,,,,1.0,0.1082262247800827,0.0003970761608798057,0.1082262247800827,0.10222413390874863,0.0003831131325569004,0.10222413390874863,,,
,2023-12-31 03:38:04.854859,,,,,1.0,,,,,,,0.14472639560699463,0.0025373941753059626,0.14472639560699463
0.02,2023-12-31 03:38:17.709127,,,,,,,,,,,,,,
,2023-12-31 03:38:17.960313,0.06862027943134308,0.000241261615883559,0.06862027943134308,349.0,2.0,,,,,,,,,
0.02,2023-12-31 03:38:30.401819,,,,,,,,,,,,,,
,2023-12-31 03:38:30.648789,0.21587374806404114,0.002628689631819725,0.21587374806404114,399.0,2.0,,,,,,,,,
0.02,2023-12-31 03:38:44.135126,,,,,,,,,,,,,,
,2023-12-31 03:38:44.406491,0.13612404465675354,0.0005888630403205752,0.13612404465675354,449.0,2.0,,,,,,,,,
,2023-12-31 03:38:46.200654,,,,,2.0,0.1841248720884323,0.002903509186580777,0.1841248720884323,0.2098253220319748,0.0030420231632888317,0.2098253220319748,,,
,2023-12-31 03:38:46.214268,,,,,2.0,,,,,,,0.1497405618429184,0.0015282264212146401,0.1497405618429184
